"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\category.mongo.datasource.impl.ts", "TypeScript", 0, 0, 88, 0, 0, 22, 54, 164
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\product.mongo.datasource.impl.ts", "TypeScript", 0, 0, 126, 0, 0, 34, 74, 234
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\datasources\products\unit.mongo.datasource.impl.ts", "TypeScript", 0, 0, 95, 0, 0, 24, 52, 171
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\city.mapper.ts", "TypeScript", 0, 0, 25, 0, 0, 3, 6, 34
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\customer.mapper.ts", "TypeScript", 0, 0, 45, 0, 0, 5, 9, 59
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\customers\neighborhood.mapper.ts", "TypeScript", 0, 0, 32, 0, 0, 4, 7, 43
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\category.mapper.ts", "TypeScript", 0, 0, 17, 0, 0, 4, 7, 28
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\product.mapper.ts", "TypeScript", 0, 0, 27, 0, 0, 4, 6, 37
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\products\unit.mapper.ts", "TypeScript", 0, 0, 17, 0, 0, 1, 7, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\mappers\user.mapper.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 7, 29
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\auth.repository.impl.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 7, 23
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\city.repository.impl.ts", "TypeScript", 0, 0, 30, 0, 0, 1, 9, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\customer.repository.impl.ts", "TypeScript", 0, 0, 30, 0, 0, 1, 9, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\customers\neighborhood.repository.impl.ts", "TypeScript", 0, 0, 33, 0, 0, 1, 10, 44
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\category.respository.impl.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 13, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\product.repository.impl.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 11, 47
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\infrastructure\repositories\products\unit.repository.impl.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 9, 39
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\auth\controller.auth.ts", "TypeScript", 0, 0, 77, 0, 0, 20, 28, 125
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\auth\routes.auth.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 10, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.city.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 23, 111
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.customer.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 25, 139
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\controller.neighborhood.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 23, 124
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.city.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 5, 27
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.customer.ts", "TypeScript", 0, 0, 24, 0, 0, 3, 5, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\customers\routes.neighborhood.ts", "TypeScript", 0, 0, 23, 0, 0, 3, 5, 31
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\middlewares\auth.middleware.ts", "TypeScript", 0, 0, 35, 0, 0, 1, 21, 57
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\middlewares\rate-limit.middleware.ts", "TypeScript", 0, 0, 72, 0, 0, 4, 9, 85
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.category.ts", "TypeScript", 0, 0, 75, 0, 0, 14, 33, 122
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.product.ts", "TypeScript", 0, 0, 85, 0, 0, 17, 31, 133
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\controller.unit.ts", "TypeScript", 0, 0, 73, 0, 0, 11, 28, 112
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.category..ts", "TypeScript", 0, 0, 18, 0, 0, 2, 5, 25
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.product.ts", "TypeScript", 0, 0, 23, 0, 0, 3, 9, 35
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\products\routes.unit.ts", "TypeScript", 0, 0, 18, 0, 0, 2, 4, 24
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\routes.ts", "TypeScript", 0, 0, 21, 0, 0, 7, 12, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\server.ts", "TypeScript", 0, 0, 26, 0, 0, 7, 16, 49
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\user\controller.user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\src\presentation\user\routes.user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-Clean-Architecture-Node-Express-Mongo\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 91, 9, 112
"Total", "-", 2657, 12, 4136, 42, 12, 554, 1315, 8728
